log_id,table_name,record_id,action,old_data,new_data,performed_by,timestamp
1,contractor,2,CREATE,,"{""contractor_name"":""TestName"",""contact_person"":""ContactPerson"",""contact_no"":""ContactNo"",""email"":""TestContractor@gmail.com"",""status"":""active""}",1,"2025-11-26 14:29:27"
2,contractor,1,DELETE,"{""contractor_id"":1,""contractor_name"":""TestName"",""contact_person"":""ContactPerson"",""contact_no"":""ContactNo"",""email"":""TestContractor@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:26:09"",""date_edited"":""2025-11-26 14:26:09"",""created_by"":1,""edited_by"":1}","{""is_deleted"":1}",1,"2025-11-26 14:29:32"
3,contractor,3,CREATE,,"{""contractor_name"":""asdkjaskdjh"",""contact_person"":""aksjdhakjshd"",""contact_no"":""akjshdkajhsd"",""email"":""akjshdkajshd@gmail.com"",""status"":""active""}",1,"2025-11-26 14:30:33"
4,contractor,3,DELETE,"{""contractor_id"":3,""contractor_name"":""asdkjaskdjh"",""contact_person"":""aksjdhakjshd"",""contact_no"":""akjshdkajhsd"",""email"":""akjshdkajshd@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:30:33"",""date_edited"":""2025-11-26 14:30:33"",""created_by"":1,""edited_by"":1}","{""is_deleted"":1}",1,"2025-11-26 14:30:49"
5,company,1,CREATE,,"{""company_name"":""TestCompany"",""address"":""TestAddress"",""contact_no"":""09123456789"",""email"":""TestCompany@gmail.com"",""status"":""active""}",1,"2025-11-26 14:31:46"
6,company,1,UPDATE,"{""company_id"":1,""company_name"":""TestCompany"",""address"":""TestAddress"",""contact_no"":""09123456789"",""email"":""TestCompany@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:31:46"",""date_edited"":""2025-11-26 14:31:46"",""created_by"":1,""edited_by"":1}","{""company_id"":""1"",""company_name"":""TestCompany"",""address"":""TestAddress"",""contact_no"":""09123456789"",""email"":""TestCompany@gmail.com"",""status"":""inactive""}",1,"2025-11-26 14:31:52"
7,company,1,UPDATE,"{""company_id"":1,""company_name"":""TestCompany"",""address"":""TestAddress"",""contact_no"":""09123456789"",""email"":""TestCompany@gmail.com"",""status"":""Inactive"",""is_deleted"":0,""date_created"":""2025-11-26 14:31:46"",""date_edited"":""2025-11-26 14:31:52"",""created_by"":1,""edited_by"":1}","{""company_id"":""1"",""company_name"":""TestCompany"",""address"":""TestAddress"",""contact_no"":""09123456789"",""email"":""TestCompany@gmail.com"",""status"":""active""}",1,"2025-11-26 14:31:55"
8,contractor,0,UPDATE,false,"{""contractor_id"":"""",""contractor_name"":""Lance Serrano"",""contact_person"":""Remi"",""contact_no"":""09676786767"",""email"":""Lanceserrano@gmail.com"",""status"":""active""}",1,"2025-11-26 14:40:28"
9,company,1,UPDATE,"{""company_id"":1,""company_name"":""Remi"",""address"":""Motherss"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:31:46"",""date_edited"":""2025-11-26 16:56:27"",""created_by"":1,""edited_by"":1}","{""action"":""update"",""company_id"":""1"",""company_name"":""Remi"",""address"":""asdasdasd"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""active""}",1,"2025-11-26 16:59:57"
10,company,1,UPDATE,"{""company_id"":1,""company_name"":""Remi"",""address"":""asdasdasd"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:31:46"",""date_edited"":""2025-11-26 16:59:57"",""created_by"":1,""edited_by"":1}","{""action"":""update"",""company_id"":""1"",""company_name"":""asdasdasdasd"",""address"":""asdasdasd"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""active""}",1,"2025-11-26 17:00:10"
11,company,2,CREATE,,"{""company_id"":"""",""action"":""create"",""company_name"":""Remi"",""address"":""asdasd"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""active""}",1,"2025-11-26 18:24:21"
12,company,1,DELETE,"{""company_id"":1,""company_name"":""asdasdasdasd"",""address"":""asdasdasd"",""contact_no"":""09123456789"",""email"":""asdasdasd@gmail.com"",""status"":""Active"",""is_deleted"":0,""date_created"":""2025-11-26 14:31:46"",""date_edited"":""2025-11-26 17:00:09"",""created_by"":1,""edited_by"":1}","{""is_deleted"":1}",1,"2025-11-26 18:24:32"
13,company,3,CREATE,,"{""company_id"":"""",""action"":""create"",""company_name"":""Company 1"",""address"":""Company 1 Address"",""contact_no"":""09123456789"",""email"":""Company1@gmail.com"",""status"":""active""}",1,"2025-11-26 18:25:57"
